kcdbCode,categoryValue,subCategoryValue,analyteValue,analyteMatrix,quantityValue,cmc_low,cmc_high,cmc_unit,unc_low,unc_high,unc_unit,uncertaintyMode,coverageFactor,confidenceLevel,mechanism,publicationDate,status
APMP-QM-KR-000000GT-1,Inorganic solutions,Elemental,magnesium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-017,2013-03-12,Published
APMP-QM-KR-000000GY-1,Inorganic solutions,Elemental,phosphorus,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-022,2013-03-12,Published
APMP-QM-KR-000000GZ-1,Inorganic solutions,Elemental,potassium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-023,2013-03-12,Published
APMP-QM-KR-000000H1-1,Inorganic solutions,Elemental,sodium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-027,2013-03-12,Published
APMP-QM-KR-000000H3-1,Inorganic solutions,Elemental,vanadium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-031,2013-03-12,Published
APMP-QM-KR-000000H5-1,Inorganic solutions,Elemental,gallium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-034,2013-03-12,Published
APMP-QM-KR-000000H6-1,Inorganic solutions,Elemental,indium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-035,2013-03-12,Published
APMP-QM-KR-000000HC-1,Inorganic solutions,Elemental,germanium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-013,2013-03-12,Published
APMP-QM-KR-000000HI-1,Inorganic solutions,Elemental,barium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-033,2013-03-12,Published
APMP-QM-KR-000000IH-1,Advanced materials,Polymers and plastics,mercury,ABS,Mass fraction,10.0,2000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 113-01-011, CRM 113-01-012, CRM 113-01-013, CRM 113-01-014, CRM 113-01-015",2012-09-06,Published
APMP-QM-KR-000000II-1,Advanced materials,Polymers and plastics,nickel,ABS,Mass fraction,10.0,2000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 113-01-011, CRM 113-01-012, CRM 113-01-013, CRM 113-01-014, CRM 113-01-015",2012-09-06,Published
APMP-QM-KR-000000IO-1,Advanced materials,Polymers and plastics,cadmium,polypropylene (PP),Mass fraction,1.0,200.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 113-01-001, CRM 113-01-002, CRM 113-01-003, CRM 113-01-004, CRM 113-01-005",2013-06-13,Published
APMP-QM-KR-000000TV-1,Other materials,"Other than cements, paints, textiles, glasses, thin films, coatings, insulating materials, rubber, and adhesives",lead,cosmetic powder,Mass fraction,1.0,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 114-01-001, CRM 114-01-002",2016-01-20,Published
APMP-QM-KR-000003PY-1,High purity chemicals,Inorganic compounds,chloride expressed as sodium chloride,high purity sodium chloride,Mass fraction,99.9,100.0,%,0.01,0.03,%,Relative,2.0,95.0,KRISS CRM 104-02-001,2018-09-26,Published
APMP-QM-KR-000003PZ-1,High purity chemicals,Inorganic compounds,total acid expressed as potassium hydrogen phthalate,high purity potassium hydrogen phthalate,Mass fraction,99.9,100.0,%,0.005,0.02,%,Relative,2.0,95.0,KRISS CRM 104-02-002,2018-09-26,Published
APMP-QM-KR-00000424-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",dichloromethane,nitrogen,Amount-of-substance fraction,0.0001,0.001,mol/mol,1.5,1.5,%,Relative,2.0,95.0,CRM 112-01-087,2016-01-20,Published
APMP-QM-KR-00000425-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",chloroethylene,nitrogen,Amount-of-substance fraction,0.0001,0.001,mol/mol,1.5,1.5,%,Relative,2.0,95.0,CRM 112-01-088,2016-01-20,Published
APMP-QM-KR-00000426-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical","1,2-dichloroethene",nitrogen,Amount-of-substance fraction,0.0001,0.001,mol/mol,1.5,1.5,%,Relative,2.0,95.0,CRM 112-01-089,2016-01-20,Published
APMP-QM-KR-00000427-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical","1,1-dichloroethane",nitrogen,Amount-of-substance fraction,0.0001,0.001,mol/mol,1.5,1.5,%,Relative,2.0,95.0,CRM 112-01-090,2016-01-20,Published
APMP-QM-KR-0000042A-1,Gases,Environmental,"1,2,4-trichlorobenzene",nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-03-715,2016-01-20,Published
APMP-QM-KR-0000042C-1,Gases,Environmental,trichloroethylene,nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-03-785,2016-01-20,Published
APMP-QM-KR-0000042E-1,Gases,Environmental,carbon tetrachloride,nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-03-789,2016-01-20,Published
APMP-QM-KR-0000042P-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",dichloromethane,nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-01-087,2016-01-20,Published
APMP-QM-KR-0000042Q-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",chloroethylene,nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-01-088,2016-01-20,Published
APMP-QM-KR-0000042S-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical","1,2-dichloroethane",nitrogen,Amount-of-substance fraction,1e-05,0.0001,mol/mol,3.0,2.0,%,Relative,2.0,95.0,CRM 112-01-089,2016-01-20,Published
APMP-QM-KR-0000042U-1,Gases,Environmental,trichlorofluoromethane (CFC-11),air,Amount-of-substance fraction,5e-05,10.0,µmol/mol,0.8,0.8,%,Relative,2.0,95.0,CRM 112-011-038,2016-01-20,Published
APMP-QM-KR-0000042V-1,Gases,Environmental,"1,1,2-trichlorotrifluoroethane (CFC-113)",air,Amount-of-substance fraction,5e-05,10.0,µmol/mol,3.5,3.5,%,Relative,2.0,95.0,CRM 112-011-039,2016-01-20,Published
APMP-QM-KR-0000042Z-1,Gases,Environmental,carbon monoxide,nitrogen,Amount-of-substance fraction,0.004,10.0,µmol/mol,100.0,0.08,%,Relative,2.0,95.0,CRM 112-03-634,2017-08-30,Published
